alloc!
Epoch 394, train_loss=124.3, val_loss=1420
Epoch 395, train_loss=123.4, val_loss=1406
Epoch 396, train_loss=122.2, val_loss=1393
Epoch 397, train_loss=121.3, val_loss=1380
Epoch 398, train_loss=120.7, val_loss=1370
Epoch 399, train_loss=120, val_loss=1362
Epoch 400, train_loss=119.8, val_loss=1355
Epoch 401, train_loss=119.2, val_loss=1348
Epoch 402, train_loss=118.9, val_loss=1342
Epoch 403, train_loss=118.5, val_loss=1337
Epoch 404, train_loss=118.2, val_loss=1333
Epoch 405, train_loss=118.1, val_loss=1329
Epoch 406, train_loss=117.8, val_loss=1326
Epoch 407, train_loss=117.7, val_loss=1323
Epoch 408, train_loss=117.5, val_loss=1320
Epoch 409, train_loss=117.3, val_loss=1318
Epoch 410, train_loss=117.2, val_loss=1315
Epoch 411, train_loss=117, val_loss=1312
Epoch 412, train_loss=117, val_loss=1310
Epoch 413, train_loss=116.8, val_loss=1309
Epoch 414, train_loss=116.7, val_loss=1307
Epoch 415, train_loss=116.5, val_loss=1306
Epoch 416, train_loss=116.4, val_loss=1304
Epoch 417, train_loss=116.3, val_loss=1303
Epoch 418, train_loss=116.2, val_loss=1303
Epoch 419, train_loss=116.1, val_loss=1301
Epoch 420, train_loss=116, val_loss=1300
Epoch 421, train_loss=116, val_loss=1298
Epoch 422, train_loss=115.8, val_loss=1297
Epoch 423, train_loss=115.8, val_loss=1297
Epoch 424, train_loss=115.7, val_loss=1296
Epoch 425, train_loss=115.6, val_loss=1296
Epoch 426, train_loss=115.6, val_loss=1295
Epoch 427, train_loss=115.4, val_loss=1294
Epoch 428, train_loss=115.3, val_loss=1294
Epoch 429, train_loss=115.3, val_loss=1293
Epoch 430, train_loss=115.2, val_loss=1293
Epoch 431, train_loss=115.1, val_loss=1292
Epoch 432, train_loss=115.2, val_loss=1293
Epoch 433, train_loss=115, val_loss=1291
Epoch 434, train_loss=114.9, val_loss=1290
Epoch 435, train_loss=114.9, val_loss=1289
Epoch 436, train_loss=114.7, val_loss=1290
Epoch 437, train_loss=114.7, val_loss=1288
Epoch 438, train_loss=114.6, val_loss=1288
Epoch 439, train_loss=114.6, val_loss=1288
Epoch 440, train_loss=114.4, val_loss=1288
Epoch 441, train_loss=114.4, val_loss=1286
Epoch 442, train_loss=114.3, val_loss=1286
Epoch 443, train_loss=114.2, val_loss=1286
Epoch 444, train_loss=114.1, val_loss=1285
Epoch 445, train_loss=114, val_loss=1284
Epoch 446, train_loss=113.9, val_loss=1284
Epoch 447, train_loss=113.8, val_loss=1283
Epoch 448, train_loss=113.7, val_loss=1283
Epoch 449, train_loss=113.6, val_loss=1282
Epoch 450, train_loss=113.5, val_loss=1282
Epoch 451, train_loss=113.4, val_loss=1281
Epoch 452, train_loss=113.3, val_loss=1282
Epoch 453, train_loss=113.2, val_loss=1281
